FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130816;0000;;;33,7451;
130817;0000;;;27,6948;
130818;0000;;;7,6967;
130819;0000;;;6,42799;
130820;0000;;;26,2302;
130821;0000;;;12,5077;
130822;0000;;;13,0585;
130823;0000;;;12,3024;
130824;0000;;;14,6179;
130825;0000;;;14,4911;
130826;0000;;;12,8684;
130827;0000;;;24,3537;
130828;0000;;;9,4574;
130829;0000;;;5,67329;
130830;0000;;;11,4024;
130831;0000;;;13,7326;
130901;0000;;;12,0643;
130902;0000;;;14,4739;
130903;0000;;;29,2639;
130904;0000;;;13,9247;
130905;0000;;;7,10454;
130906;0000;;;14,0731;
130907;0000;;;13,0496;
130908;0000;;;12,1017;
130909;0000;;;8,45845;
130910;0000;;;15,4121;
130911;0000;;;17,3839;
130912;0000;;;5,32299;
130913;0000;;;5,45358;
130914;0000;;;5,25374;
130915;0000;;;5,52383;
130916;0000;;;7,3277;
130917;0000;;;14,7342;
130918;0000;;;17,0111;
130919;0000;;;12,1956;
130920;0000;;;6,85045;
130921;0000;;;5,26387;
130922;0000;;;8,19211;
130923;0000;;;16,7722;
130924;0000;;;23,3766;
130925;0000;;;7,77099;
130926;0000;;;8,11578;
130927;0000;;;7,98103;
130928;0000;;;7,10778;
130929;0000;;;11,7155;
130930;0000;;;12,5479;
131001;0000;;;23,562;
131002;0000;;;12,7223;
131003;0000;;;6,82753;
131004;0000;;;14,021;
131005;0000;;;13,4272;
131006;0000;;;7,84403;
131007;0000;;;8,05978;
131008;0000;;;19,0658;
131009;0000;;;14,6537;
131010;0000;;;11,5526;
131011;0000;;;11,4172;
131012;0000;;;11,407;
131013;0000;;;9,17686;
131014;0000;;;10,8281;
131015;0000;;;17,7338;
131016;0000;;;7,47095;
131017;0000;;;13,7601;
131018;0000;;;10,7179;
131019;0000;;;11,3035;
131020;0000;;;9,72882;
131021;0000;;;7,20428;
131022;0000;;;18,9641;
131023;0000;;;5,89483;
131024;0000;;;9,99158;
131025;0000;;;6,30795;
131026;0000;;;8,7764;
131027;0000;;;11,3842;
131028;0000;;;5,57707;
131029;0000;;;24,6912;
131030;0000;;;7,55616;
131031;0000;;;7,08924;
131101;0000;;;8,18332;
131102;0000;;;8,95966;
131103;0000;;;10,7911;
131104;0000;;;6,39879;
131105;0000;;;13,4172;
131106;0000;;;;
131107;0000;;;8,52007;
131108;0000;;;10,9049;
131109;0000;;;8,92181;
131110;0000;;;8,11845;
131111;0000;;;6,1077;
131112;0000;;;21,405;
131113;0000;;;10,4298;
131114;0000;;;8,42349;
131115;0000;;;6,18658;
131116;0000;;;5,72057;
131117;0000;;;6,38937;
131118;0000;;;4,66821;
131119;0000;;;23,367;
131120;0000;;;;
131121;0000;;;;
131122;0000;;;;
131123;0000;;;;
131124;0000;;;;
131125;0000;;;3,56904;
131126;0000;;;;
131127;0000;;;;
131128;0000;;;;
131129;0000;;;;
131130;0000;;;5,43808;
131201;0000;;;5,05087;
131202;0000;;;8,37653;
131203;0000;;;37,6735;
131204;0000;;;10,9386;
131205;0000;;;10,1336;
131206;0000;;;9,14148;
131207;0000;;;9,10777;
131208;0000;;;7,10983;
131209;0000;;;7,17087;
131210;0000;;;21,6539;
131211;0000;;;7,68137;
131212;0000;;;8,23903;
131213;0000;;;6,08453;
131214;0000;;;6,17641;
131215;0000;;;6,87016;
131216;0000;;;10,1786;
131217;0000;;;28,9257;
131218;0000;;;7,39104;
131219;0000;;;10,0794;
131220;0000;;;9,4877;
131221;0000;;;7,07957;
131222;0000;;;7,26349;
131223;0000;;;7,40758;
131224;0000;;;33,2134;
131225;0000;;;6,35808;
131226;0000;;;9,3192;
131227;0000;;;7,71045;
131228;0000;;;8,00432;
131229;0000;;;9,90445;
131230;0000;;;24,2729;
131231;0000;;;72,7731;
140101;0000;;;22,8954;
140102;0000;;;15,0102;
140103;0000;;;17,5306;
140104;0000;;;16,8575;
140105;0000;;;16,0583;
140106;0000;;;8,84178;
140107;0000;;;50,6897;
140108;0000;;;5,17253;
140109;0000;;;6,56266;
140110;0000;;;2,58575;
140111;0000;;;5,04887;
140112;0000;;;1,79979;
140113;0000;;;2,21116;
140114;0000;;;12,9579;
