FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130722;0000;;;10,4886;
130723;0000;;;15,7567;
130724;0000;;;22,4485;
130725;0000;;;;
130726;0000;;;;
130727;0000;;;7,28495;
130728;0000;;;3,50884;
130729;0000;;;;
130730;0000;;;;
130731;0000;;;19,1581;
130801;0000;;;10,5724;
130802;0000;;;7,22599;
130803;0000;;;;
130804;0000;;;6,58904;
130805;0000;;;6,09144;
130806;0000;;;26,4857;
130807;0000;;;3,20091;
130808;0000;;;2,06209;
130809;0000;;;3,5469;
130810;0000;;;6,89653;
130811;0000;;;15,9131;
130812;0000;;;4,57761;
130813;0000;;;18,3441;
130814;0000;;;13,5059;
130815;0000;;;8,70932;
130816;0000;;;23,7549;
130817;0000;;;16,5609;
130818;0000;;;;
130819;0000;;;;
130820;0000;;;15,7075;
130821;0000;;;5,36754;
130822;0000;;;6,43038;
130823;0000;;;4,38612;
130824;0000;;;6,4259;
130825;0000;;;5,20834;
130826;0000;;;6,06064;
130827;0000;;;16,2736;
130828;0000;;;3,41136;
130829;0000;;;;
130830;0000;;;;
130831;0000;;;7,62557;
130901;0000;;;6,59433;
130902;0000;;;7,88908;
130903;0000;;;23,5039;
130904;0000;;;6,82803;
130905;0000;;;2,80175;
130906;0000;;;7,65945;
130907;0000;;;7,4182;
130908;0000;;;6,11237;
130909;0000;;;3,52841;
130910;0000;;;10,7499;
130911;0000;;;11,5596;
130912;0000;;;1,97196;
130913;0000;;;1,86704;
130914;0000;;;1,64483;
130915;0000;;;1,55287;
130916;0000;;;2,78962;
130917;0000;;;9,1507;
130918;0000;;;9,30627;
130919;0000;;;6,01424;
130920;0000;;;2,27925;
130921;0000;;;1,54933;
130922;0000;;;2,82612;
130923;0000;;;9,72487;
130924;0000;;;14,8685;
130925;0000;;;2,27966;
130926;0000;;;2,4342;
130927;0000;;;3,57237;
130928;0000;;;2,81529;
130929;0000;;;5,11266;
130930;0000;;;5,52437;
131001;0000;;;17,4063;
131002;0000;;;6,44557;
131003;0000;;;3,0552;
131004;0000;;;8,48474;
131005;0000;;;7,46387;
131006;0000;;;3,18158;
131007;0000;;;3,54437;
131008;0000;;;14,0148;
