FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130428;0000;;;7,87123;
130429;0000;;;6,79687;
130430;0000;;;;
130501;0000;;;;
130502;0000;;;;
130503;0000;;;;
130504;0000;;;;
130505;0000;;;;
130506;0000;;;;
130507;0000;;;;
130508;0000;;;;
130509;0000;;;;
130510;0000;;;;
130511;0000;;;;
130512;0000;;;;
130513;0000;;;;
130514;0000;;;;
130515;0000;;;;
130516;0000;;;;
130517;0000;;;;
130518;0000;;;;
130519;0000;;;;
130520;0000;;;;
130521;0000;;;;
130522;0000;;;;
130523;0000;;;;
130524;0000;;;;
130525;0000;;;;
130526;0000;;;;
130527;0000;;;;
130528;0000;;;;
130529;0000;;;;
130530;0000;;;;
130531;0000;;;;
130601;0000;;;;
130602;0000;;;;
130603;0000;;;;
130604;0000;;;;
130605;0000;;;;
130606;0000;;;;
130607;0000;;;;
130608;0000;;;;
130609;0000;;;;
130610;0000;;;;
130611;0000;;;;
130612;0000;;;;
130613;0000;;;;
130614;0000;;;;
130615;0000;;;;
130616;0000;;;;
130617;0000;;;;
130618;0000;;;;
130619;0000;;;;
130620;0000;;;;
130621;0000;;;;
130622;0000;;;;
130623;0000;;;;
130624;0000;;;;
130625;0000;;;;
130626;0000;;;;
130627;0000;;;7,39003;
130628;0000;;;9,04939;
130629;0000;;;;
130630;0000;;;;
130701;0000;;;;
130702;0000;;;;
130703;0000;;;;
130704;0000;;;;
130705;0000;;;;
130706;0000;;;;
130707;0000;;;;
130708;0000;;;;
130709;0000;;;;
130710;0000;;;;
130711;0000;;;9,01784;
130712;0000;;;9,14836;
130713;0000;;;10,1481;
130714;0000;;;11,7377;
130715;0000;;;12,8574;
130716;0000;;;19,0894;
130717;0000;;;8,04182;
130718;0000;;;;
130719;0000;;;7,7362;
130720;0000;;;;
130721;0000;;;12,1748;
130722;0000;;;9,69249;
130723;0000;;;;
130724;0000;;;;
130725;0000;;;15,0775;
130726;0000;;;15,6451;
130727;0000;;;7,76945;
130728;0000;;;9,33453;
130729;0000;;;18,8701;
130730;0000;;;17,3174;
130731;0000;;;8,52312;
130801;0000;;;8,22995;
130802;0000;;;14,6617;
130803;0000;;;14,6817;
130804;0000;;;12,5839;
130805;0000;;;14,9037;
130806;0000;;;12,5697;
130807;0000;;;16,3635;
130808;0000;;;14,8139;
130809;0000;;;14,9804;
130810;0000;;;11,3568;
130811;0000;;;9,20607;
130812;0000;;;13,6449;
130813;0000;;;21,4184;
130814;0000;;;11,3551;
130815;0000;;;15,339;
130816;0000;;;9,19882;
130817;0000;;;12,147;
130818;0000;;;21,571;
130819;0000;;;21,8346;
130820;0000;;;13,728;
130821;0000;;;13,4384;
130822;0000;;;12,7362;
130823;0000;;;13,839;
130824;0000;;;14,1955;
130825;0000;;;13,3047;
130826;0000;;;14,9957;
130827;0000;;;18,8312;
130828;0000;;;20,1572;
130829;0000;;;19,0897;
130830;0000;;;13,7157;
130831;0000;;;9,36482;
130901;0000;;;8,69495;
130902;0000;;;7,0882;
130903;0000;;;18,6855;
130904;0000;;;;
130905;0000;;;12,2025;
130906;0000;;;5,54845;
130907;0000;;;8,13571;
130908;0000;;;6,25199;
130909;0000;;;7,40226;
130910;0000;;;12,9063;
130911;0000;;;13,9432;
130912;0000;;;18,4869;
130913;0000;;;20,5141;
130914;0000;;;22,1096;
130915;0000;;;22,4983;
130916;0000;;;21,2494;
130917;0000;;;20,5831;
130918;0000;;;13,6037;
130919;0000;;;15,1394;
130920;0000;;;20,508;
130921;0000;;;21,9171;
130922;0000;;;15,4841;
130923;0000;;;14,1923;
130924;0000;;;21,2031;
130925;0000;;;22,3472;
130926;0000;;;18,8938;
130927;0000;;;20,0998;
130928;0000;;;21,1218;
130929;0000;;;18,1411;
130930;0000;;;15,9328;
131001;0000;;;18,1118;
131002;0000;;;15,2512;
131003;0000;;;20,8962;
131004;0000;;;16,6247;
131005;0000;;;17,0765;
131006;0000;;;20,2371;
131007;0000;;;22,8445;
131008;0000;;;18,6846;
131009;0000;;;14,8336;
131010;0000;;;18,7301;
131011;0000;;;14,454;
131012;0000;;;16,1027;
131013;0000;;;19,7206;
131014;0000;;;20,3325;
131015;0000;;;23,4754;
131016;0000;;;21,8429;
131017;0000;;;15,6823;
131018;0000;;;18,2865;
131019;0000;;;16,414;
131020;0000;;;14,7083;
131021;0000;;;17,661;
131022;0000;;;26,6307;
131023;0000;;;25,9695;
131024;0000;;;19,4804;
131025;0000;;;23,8083;
131026;0000;;;22,31;
131027;0000;;;23,2859;
131028;0000;;;31,3725;
131029;0000;;;27,3337;
131030;0000;;;21,3312;
131031;0000;;;21,6033;
131101;0000;;;17,36;
131102;0000;;;20,6035;
131103;0000;;;19,9281;
131104;0000;;;20,3008;
131105;0000;;;28,7033;
131106;0000;;;;
131107;0000;;;15,4952;
131108;0000;;;13,2079;
131109;0000;;;13,8797;
131110;0000;;;17,0275;
131111;0000;;;17,1462;
131112;0000;;;18,2989;
131113;0000;;;10,9627;
131114;0000;;;10,4907;
131115;0000;;;13,8737;
131116;0000;;;13,9615;
131117;0000;;;15,1756;
131118;0000;;;16,2396;
131119;0000;;;18,2374;
131120;0000;;;16,0273;
131121;0000;;;16,7999;
131122;0000;;;15,2853;
131123;0000;;;13,5208;
131124;0000;;;14,4679;
131125;0000;;;14,5986;
131126;0000;;;24,5875;
131127;0000;;;15,37;
131128;0000;;;17,6491;
131129;0000;;;12,445;
131130;0000;;;16,935;
131201;0000;;;16,257;
131202;0000;;;13,0696;
131203;0000;;;20,9701;
131204;0000;;;8,12987;
131205;0000;;;10,7659;
131206;0000;;;9,39191;
131207;0000;;;8,91391;
131208;0000;;;10,0815;
131209;0000;;;10,3109;
131210;0000;;;26,8613;
131211;0000;;;9,79681;
131212;0000;;;9,40515;
131213;0000;;;15,9512;
131214;0000;;;15,5383;
131215;0000;;;13,6645;
131216;0000;;;10,7221;
131217;0000;;;15,1718;
131218;0000;;;14,2433;
131219;0000;;;12,8254;
131220;0000;;;14,2413;
131221;0000;;;13,2159;
131222;0000;;;14,1933;
131223;0000;;;15,3038;
131224;0000;;;19,1708;
131225;0000;;;14,5865;
131226;0000;;;9,80481;
131227;0000;;;9,59819;
131228;0000;;;10,8182;
131229;0000;;;6,08916;
131230;0000;;;18,8379;
131231;0000;;;22,9781;
140101;0000;;;15,7191;
140102;0000;;;19,0721;
140103;0000;;;20,0966;
140104;0000;;;22,0229;
140105;0000;;;21,51;
140106;0000;;;24,6766;
140107;0000;;;26,9501;
140108;0000;;;15,028;
140109;0000;;;13,2114;
140110;0000;;;14,6282;
140111;0000;;;15,1553;
140112;0000;;;16,118;
140113;0000;;;14,5447;
140114;0000;;;18,4484;
140115;0000;;;14,6769;
140116;0000;;;10,4999;
140117;0000;;;9,93903;
140118;0000;;;8,34645;
140119;0000;;;9,00136;
140120;0000;;;7,97428;
140121;0000;;;11,7693;
140122;0000;;;9,49683;
140123;0000;;;8,56628;
140124;0000;;;14,0224;
140125;0000;;;15,6155;
140126;0000;;;18,8495;
140127;0000;;;16,3671;
140128;0000;;;15,9052;
140129;0000;;;15,6455;
140130;0000;;;16,6152;
140131;0000;;;8,27286;
140201;0000;;;15,6933;
140202;0000;;;12,3062;
140203;0000;;;10,3264;
140204;0000;;;14,1118;
140205;0000;;;9,96503;
140206;0000;;;14,0014;
140207;0000;;;13,0613;
140208;0000;;;9,13678;
140209;0000;;;12,9247;
140210;0000;;;17,98;
140211;0000;;;19,8315;
140212;0000;;;15,0602;
140213;0000;;;17,2033;
140214;0000;;;17,9324;
140215;0000;;;12,2246;
140216;0000;;;12,9462;
140217;0000;;;20,82;
140218;0000;;;27,6462;
140219;0000;;;14,2772;
