FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130915;0000;;;4,47174;
130916;0000;;;5,49312;
130917;0000;;;9,83786;
130918;0000;;;21,1816;
130919;0000;;;27,3699;
130920;0000;;;10,4413;
130921;0000;;;4,13545;
130922;0000;;;8,65848;
130923;0000;;;43,0916;
130924;0000;;;83,5686;
130925;0000;;;8,83032;
130926;0000;;;7,98415;
130927;0000;;;4,36462;
130928;0000;;;4,62599;
130929;0000;;;38,5967;
130930;0000;;;29,1373;
131001;0000;;;17,5258;
131002;0000;;;31,6209;
131003;0000;;;3,9557;
131004;0000;;;28,9814;
131005;0000;;;33,5441;
131006;0000;;;23,3383;
131007;0000;;;4,61237;
131008;0000;;;12,2954;
131009;0000;;;28,037;
131010;0000;;;18,4075;
131011;0000;;;18,1351;
131012;0000;;;8,39716;
131013;0000;;;5,83066;
131014;0000;;;8,29462;
131015;0000;;;22,7372;
131016;0000;;;8,64302;
131017;0000;;;15,9156;
131018;0000;;;10,6227;
131019;0000;;;10,3344;
131020;0000;;;22,6422;
131021;0000;;;5,24591;
131022;0000;;;13,7455;
131023;0000;;;5,83253;
131024;0000;;;11,1096;
131025;0000;;;5,07024;
131026;0000;;;5,17529;
131027;0000;;;15,5792;
131028;0000;;;4,9252;
131029;0000;;;17,0487;
131030;0000;;;5,76516;
131031;0000;;;5,78129;
131101;0000;;;10,621;
131102;0000;;;6,10578;
131103;0000;;;23,5715;
131104;0000;;;5,83028;
131105;0000;;;12,4298;
131106;0000;;;;
131107;0000;;;6,06595;
131108;0000;;;27,0013;
131109;0000;;;18,6053;
131110;0000;;;8,86882;
131111;0000;;;5,90295;
131112;0000;;;23,5735;
131113;0000;;;13,8611;
131114;0000;;;7,8842;
131115;0000;;;10,0075;
131116;0000;;;23,0565;
131117;0000;;;11,3773;
131118;0000;;;7,06887;
131119;0000;;;17,0842;
131120;0000;;;;
131121;0000;;;;
131122;0000;;;;
131123;0000;;;;
131124;0000;;;;
131125;0000;;;3,6615;
131126;0000;;;6,88512;
131127;0000;;;2,24716;
131128;0000;;;;
131129;0000;;;12,3691;
131130;0000;;;5,49062;
131201;0000;;;5,51853;
131202;0000;;;8,3342;
131203;0000;;;39,7934;
131204;0000;;;17,3034;
131205;0000;;;4,22499;
131206;0000;;;5,74924;
131207;0000;;;11,5533;
131208;0000;;;6,87799;
131209;0000;;;4,80866;
131210;0000;;;30,0814;
131211;0000;;;4,60175;
131212;0000;;;5,66512;
131213;0000;;;4,05637;
131214;0000;;;4,26137;
131215;0000;;;5,75937;
131216;0000;;;8,73412;
131217;0000;;;21,0595;
131218;0000;;;4,43712;
131219;0000;;;6,29399;
131220;0000;;;6,18682;
131221;0000;;;4,29649;
131222;0000;;;4,40508;
131223;0000;;;4,66279;
131224;0000;;;12,808;
131225;0000;;;4,81583;
131226;0000;;;8,17754;
131227;0000;;;6,2887;
131228;0000;;;11,892;
131229;0000;;;21,5788;
131230;0000;;;12,1258;
131231;0000;;;15,0925;
140101;0000;;;8,01657;
140102;0000;;;3,63904;
140103;0000;;;9,75819;
140104;0000;;;4,52916;
140105;0000;;;0,841957;
140106;0000;;;0,809833;
140107;0000;;;15,7787;
140108;0000;;;4,0582;
140109;0000;;;3,931;
140110;0000;;;0,694541;
140111;0000;;;13,2841;
140112;0000;;;0,39375;
140113;0000;;;0,435083;
140114;0000;;;16,0111;
140115;0000;;;0,430749;
140116;0000;;;4,93666;
140117;0000;;;2,36617;
140118;0000;;;8,96129;
140119;0000;;;3,64845;
140120;0000;;;5,75812;
140121;0000;;;18,3359;
140122;0000;;;8,53087;
140123;0000;;;5,73566;
140124;0000;;;5,12008;
140125;0000;;;8,86923;
140126;0000;;;0,595207;
140127;0000;;;1,59229;
140128;0000;;;19,7;
140129;0000;;;7,56287;
140130;0000;;;1,18809;
140131;0000;;;8,08723;
140201;0000;;;0,5615;
140202;0000;;;3,82362;
140203;0000;;;6,59083;
140204;0000;;;17,9244;
140205;0000;;;14,3859;
140206;0000;;;5,99262;
140207;0000;;;5,2862;
140208;0000;;;11,3307;
140209;0000;;;1,72491;
140210;0000;;;0,56029;
140211;0000;;;9,03116;
140212;0000;;;3,75695;
140213;0000;;;0,96354;
140214;0000;;;0,421791;
140215;0000;;;13,4839;
140216;0000;;;10,7776;
140217;0000;;;0,811666;
140218;0000;;;9,00049;
140219;0000;;;7,46524;
140220;0000;;;4,26254;
140221;0000;;;10,447;
140222;0000;;;10,8765;
140223;0000;;;0,0200416;
140224;0000;;;1,94108;
140225;0000;;;9,9462;
140226;0000;;;11,0428;
140227;0000;;;5,44891;
140228;0000;;;2,28587;
140301;0000;;;5,29212;
