FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130620;0000;;;;
130621;0000;;;;
130622;0000;;;;
130623;0000;;;;
130624;0000;;;;
130625;0000;;;;
130626;0000;;;14,9643;
130627;0000;;;8,23044;
130628;0000;;;6,79699;
130629;0000;;;14,1785;
130630;0000;;;10,7513;
130701;0000;;;13,5701;
130702;0000;;;14,3371;
130703;0000;;;7,10424;
130704;0000;;;;
130705;0000;;;;
130706;0000;;;8,37144;
130707;0000;;;;
130708;0000;;;;
130709;0000;;;8,92986;
130710;0000;;;8,22041;
130711;0000;;;5,74424;
130712;0000;;;5,51428;
130713;0000;;;6,04553;
130714;0000;;;5,0902;
130715;0000;;;4,70491;
130716;0000;;;9,34648;
130717;0000;;;9,15556;
130718;0000;;;7,91149;
130719;0000;;;6,57974;
130720;0000;;;6,97762;
130721;0000;;;4,43837;
130722;0000;;;7,78732;
130723;0000;;;11,2706;
130724;0000;;;12,4764;
130725;0000;;;5,85149;
130726;0000;;;5,97649;
130727;0000;;;6,33749;
130728;0000;;;4,79575;
130729;0000;;;3,11559;
130730;0000;;;6,99519;
130731;0000;;;7,65812;
130801;0000;;;8,39282;
130802;0000;;;6,14661;
130803;0000;;;7,16828;
130804;0000;;;5,32021;
130805;0000;;;5,65295;
130806;0000;;;9,82324;
130807;0000;;;5,56024;
130808;0000;;;3,80133;
130809;0000;;;4,25275;
130810;0000;;;6,22558;
130811;0000;;;6,1405;
130812;0000;;;5,38241;
130813;0000;;;4,06012;
130814;0000;;;10,3897;
130815;0000;;;7,56253;
130816;0000;;;9,54173;
130817;0000;;;9,74899;
130818;0000;;;6,02874;
130819;0000;;;4,55466;
130820;0000;;;10,4056;
130821;0000;;;5,90712;
130822;0000;;;5,69174;
130823;0000;;;6,72587;
130824;0000;;;7,24241;
130825;0000;;;8,27428;
130826;0000;;;5,87845;
130827;0000;;;6,90149;
130828;0000;;;5,22282;
130829;0000;;;3,47116;
130830;0000;;;4,82829;
130831;0000;;;4,82624;
130901;0000;;;4,22495;
130902;0000;;;5,29341;
