FECHA (YYMMDD);HORA (HHMM);;
160223;1600;2,08308;
160223;1700;1,83178;
160223;1800;1,35255;
160223;1900;0,910579;
160223;2000;0,0909911;
160223;2100;0,696601;
160223;2200;0,570151;
160223;2300;0,987871;
160224;0000;0,571549;
160224;0100;0,502038;
160224;0200;0,72473;
160224;0300;0,289889;
160224;0400;0,291639;
160224;0500;0,0628119;
160224;0600;0,167295;
160224;0700;0,871878;
160224;0800;0,274145;
160224;0900;0,556274;
160224;1000;1,4457;
160224;1100;2,24368;
160224;1200;2,20344;
160224;1300;2,30334;
160224;1400;2,6201;
160224;1500;2,72789;
160224;1600;2,71017;
160224;1700;2,44801;
160224;1800;2,77329;
160224;1900;0,758288;
160224;2000;1,86368;
160224;2100;1,11628;
160224;2200;;
160224;2300;0,0938355;
160225;0000;1,39991;
160225;0100;1,37567;
160225;0200;0,903484;
160225;0300;1,18442;
160225;0400;1,1954;
160225;0500;1,80831;
160225;0600;1,18715;
160225;0700;2,14047;
160225;0800;1,46806;
160225;0900;2,06063;
160225;1000;2,13902;
160225;1100;3,00808;
160225;1200;3,85514;
160225;1300;2,54146;
160225;1400;3,46195;
160225;1500;4,82156;
160225;1600;4,5172;
160225;1700;5,40678;
160225;1800;6,59435;
160225;1900;7,08619;
160225;2000;5,04169;
160225;2100;3,47055;
160225;2200;3,41853;
160225;2300;4,6095;
160226;0000;3,74969;
160226;0100;2,18658;
160226;0200;0,911949;
160226;0300;1,64457;
160226;0400;2,11133;
160226;0500;1,63029;
160226;0600;1,10002;
160226;0700;1,87158;
160226;0800;0,989858;
160226;0900;1,3103;
160226;1000;1,93911;
160226;1100;3,22987;
160226;1200;2,5913;
160226;1300;3,32375;
160226;1400;3,21465;
160226;1500;3,56694;
160226;1600;3,19351;
160226;1700;5,27698;
160226;1800;3,83054;
160226;1900;2,8877;
160226;2000;2,82263;
160226;2100;3,5742;
160226;2200;3,31531;
160226;2300;1,17323;
160227;0000;0,852637;
160227;0100;2,25429;
160227;0200;1,054;
160227;0300;2,02846;
160227;0400;2,36395;
160227;0500;2,896;
160227;0600;1,00684;
160227;0700;0,905687;
160227;0800;1,58576;
160227;0900;2,33113;
160227;1000;2,48829;
160227;1100;3,27174;
160227;1200;2,95367;
160227;1300;2,55514;
160227;1400;2,68963;
160227;1500;3,03788;
160227;1600;2,82089;
160227;1700;2,38784;
160227;1800;2,14269;
160227;1900;0,319397;
160227;2000;2,4189;
160227;2100;3,02497;
160227;2200;2,16906;
160227;2300;0,916394;
160228;0000;0,685678;
160228;0100;1,36641;
160228;0200;1,91059;
160228;0300;1,14318;
160228;0400;0,465838;
160228;0500;1,6534;
160228;0600;1,63276;
160228;0700;1,545;
160228;0800;0,986301;
160228;0900;2,47772;
160228;1000;2,73773;
160228;1100;3,3198;
160228;1200;2,60527;
160228;1300;2,51154;
160228;1400;2,69193;
160228;1500;3,25164;
160228;1600;3,01131;
160228;1700;2,92572;
160228;1800;3,78217;
160228;1900;1,68862;
160228;2000;2,40864;
160228;2100;1,86701;
160228;2200;1,45644;
160228;2300;1,78656;
160229;0000;2,02491;
160229;0100;2,54966;
160229;0200;1,99909;
160229;0300;0,447302;
160229;0400;0,38661;
160229;0500;1,198;
160229;0600;0,383675;
